race_id,year,round,gp_name,circuit,driver,team,finish_position,is_dnf,grid_position,quali_gap_to_pole,lap_consistency_std,lap_consistency_n,tyre_deg_slope,stint_count,compound_start,air_temp,track_temp,temp_delta,is_wet,humidity,driver_recent_avg_pos,constructor_dnf_rate,circuit_type,is_street_circuit,season_phase,pit_stop_count,strategy_delta,avg_speed_trap,speed_trap_percentile,chaos_index,driver_recent_form_score,constructor_recent_form_score,track_specific_driver_score,wet_performance_score,street_circuit_score,overtake_difficulty_factor,pit_stop_efficiency,safety_car_sensitivity,quali_to_race_conversion,dnf_risk_score,avg_top_speed_last_5,straight_line_speed_percentile_last_5,avg_deg_same_compound_last_5,constructor_strategy_score,field_strength
2018_02,2018,2,Bahrain Grand Prix,Sakhir,ALO,McLaren,7,0,13,0.025626,6.0395,43,0.08983,3,UNKNOWN,28.1,32.2,4.1,0,46.4,,,balanced,0,early,2,6.0,,,0.15,0.8095238095238095,0.18666666666666668,,0.8095238095238095,0.8095238095238095,0.3,3.0,5.0,3.0,0.0,,,-0.081427,2.65,0.5
2018_02,2018,2,Bahrain Grand Prix,Sakhir,BOT,Mercedes,2,0,3,0.001887,0.9633,44,0.036393,2,UNKNOWN,28.1,32.2,4.1,0,46.4,,,balanced,0,early,1,1.0,,,0.15,0.6666666666666666,0.5333333333333333,,0.6666666666666666,0.6666666666666666,0.3,1.6666666666666667,7.0,1.6666666666666667,0.0,,,-0.030661,1.3166666666666667,0.5
2018_02,2018,2,Bahrain Grand Prix,Sakhir,ERI,Sauber,9,0,17,0.035301,0.7804,43,0.023672,2,UNKNOWN,28.1,32.2,4.1,0,46.4,,,balanced,0,early,1,8.0,,,0.15,0.0,0.0,,0.0,0.0,0.3,0.6666666666666666,3.0,2.3333333333333335,0.8,,,,1.8666666666666665,0.5
2018_02,2018,2,Bahrain Grand Prix,Sakhir,GAS,Toro Rosso,4,0,5,0.015587,0.1751,42,-0.015835,3,UNKNOWN,28.1,32.2,4.1,0,46.4,,,balanced,0,early,2,1.0,,,0.15,0.0,0.0,,0.0,0.0,0.3,-0.3333333333333333,3.0,-0.3333333333333333,0.8,,,-0.141568,-0.5666666666666667,0.5
2018_02,2018,2,Bahrain Grand Prix,Sakhir,GRO,Haas F1 Team,13,0,16,0.029241,0.1946,38,0.070196,4,UNKNOWN,28.1,32.2,4.1,0,46.4,,0.6667,balanced,0,early,3,3.0,,,0.15,0.0,0.0,,0.0,0.0,0.3,-3.0,3.0,-3.0,1.0,,,-0.004875,-3.0,0.5
2018_02,2018,2,Bahrain Grand Prix,Sakhir,HAM,Mercedes,3,0,9,0.002979,0.4582,45,0.017748,2,UNKNOWN,28.1,32.2,4.1,0,46.4,,0.0,balanced,0,early,1,6.0,,,0.15,0.9523809523809523,0.6266666666666666,,0.9523809523809523,0.9523809523809523,0.3,1.3333333333333333,1.0,1.3333333333333333,0.0,,,-0.077069,0.9833333333333334,0.5
2018_02,2018,2,Bahrain Grand Prix,Sakhir,HAR,Toro Rosso,17,0,11,0.024409,1.3563,41,0.097805,3,UNKNOWN,28.1,32.2,4.1,0,46.4,,0.3333,balanced,0,early,2,-6.0,,,0.15,0.3333333333333333,0.24,,0.3333333333333333,0.3333333333333333,0.3,0.08333333333333333,1.0,0.3333333333333333,0.05,,,-0.03794,-0.1333333333333333,0.5
2018_02,2018,2,Bahrain Grand Prix,Sakhir,HUL,Renault,6,0,7,0.013973,6.0772,44,0.103087,3,UNKNOWN,28.1,32.2,4.1,0,46.4,,,balanced,0,early,2,1.0,,,0.15,0.7142857142857143,0.10666666666666667,,0.7142857142857143,0.7142857142857143,0.3,-0.6666666666666666,0.0,-0.6666666666666666,0.0,,,-0.041985,-1.0166666666666668,0.5
2018_02,2018,2,Bahrain Grand Prix,Sakhir,LEC,Sauber,12,0,19,0.03936,0.2704,45,0.030005,3,UNKNOWN,28.1,32.2,4.1,0,46.4,,0.3333,balanced,0,early,2,7.0,,,0.15,0.42857142857142855,0.04,,0.42857142857142855,0.42857142857142855,0.3,4.333333333333333,5.0,5.166666666666667,0.05,,,-0.090727,4.758333333333334,0.5
2018_02,2018,2,Bahrain Grand Prix,Sakhir,MAG,Haas F1 Team,5,0,6,0.015917,0.7106,44,-0.030721,3,UNKNOWN,28.1,32.2,4.1,0,46.4,,,balanced,0,early,2,1.0,,,0.15,0.0,0.0,,0.0,0.0,0.3,-1.0,3.0,0.0,0.85,,,-0.038588,-0.5249999999999999,0.5
2018_02,2018,2,Bahrain Grand Prix,Sakhir,OCO,Force India,10,0,8,0.021783,0.4287,42,0.039309,3,UNKNOWN,28.1,32.2,4.1,0,46.4,,,balanced,0,early,2,-2.0,,,0.15,0.47619047619047616,0.0,,0.47619047619047616,0.47619047619047616,0.3,1.3333333333333333,2.0,1.3333333333333333,0.0,,,-0.05729,0.9833333333333334,0.5
2018_02,2018,2,Bahrain Grand Prix,Sakhir,PER,Force India,16,0,12,0.024989,1.0954,43,0.088886,3,UNKNOWN,28.1,32.2,4.1,0,46.4,,0.0,balanced,0,early,2,-4.0,,,0.15,0.5238095238095238,0.02,,0.5238095238095238,0.5238095238095238,0.3,0.16666666666666666,1.0,-0.3333333333333333,0.0,,,-0.040929,-0.8583333333333335,0.5
2018_02,2018,2,Bahrain Grand Prix,Sakhir,RAI,Ferrari,21,1,2,0.001626,0.2173,23,0.077164,2,UNKNOWN,28.1,32.2,4.1,0,46.4,,0.0,balanced,0,early,1,-3.0,,,0.15,0.9047619047619048,0.8666666666666667,,0.9047619047619048,0.9047619047619048,0.3,1.0,1.0,1.0,0.0,,,-0.096586,0.6499999999999999,0.5
2018_02,2018,2,Bahrain Grand Prix,Sakhir,RIC,Red Bull Racing,21,1,4,0.005002,,0,,1,UNKNOWN,28.1,32.2,4.1,0,46.4,,0.3333,balanced,0,early,0,-3.0,,,0.15,0.8571428571428571,0.37333333333333335,,0.8571428571428571,0.8571428571428571,0.3,0.0,4.0,0.0,0.0,,,-0.022593,-0.3500000000000001,0.5
2018_02,2018,2,Bahrain Grand Prix,Sakhir,SAI,Renault,11,0,10,0.020965,0.9732,43,0.092373,3,UNKNOWN,28.1,32.2,4.1,0,46.4,,0.0,balanced,0,early,2,-1.0,,,0.15,0.5714285714285714,0.21333333333333335,,0.5714285714285714,0.5714285714285714,0.3,-0.08333333333333333,1.0,0.16666666666666666,0.0,,,-0.051429,-0.3583333333333334,0.5
2018_02,2018,2,Bahrain Grand Prix,Sakhir,SIR,Williams,15,0,18,0.039291,0.8486,43,0.122834,3,UNKNOWN,28.1,32.2,4.1,0,46.4,,0.3333,balanced,0,early,2,3.0,,,0.15,0.0,0.0,,0.0,0.0,0.3,-1.3333333333333333,3.0,-1.6666666666666667,0.8,,,,-2.1333333333333333,0.5
2018_02,2018,2,Bahrain Grand Prix,Sakhir,STR,Williams,14,0,20,0.040303,0.4613,42,0.065743,3,UNKNOWN,28.1,32.2,4.1,0,46.4,,,balanced,0,early,2,6.0,,,0.15,0.38095238095238093,0.0,,0.38095238095238093,0.38095238095238093,0.3,0.08333333333333333,1.0,0.6666666666666666,0.05,,,-0.049401,0.08333333333333319,0.5
2018_02,2018,2,Bahrain Grand Prix,Sakhir,VAN,McLaren,8,0,14,0.028661,0.6605,43,0.046207,3,UNKNOWN,28.1,32.2,4.1,0,46.4,,0.0,balanced,0,early,2,6.0,,,0.15,0.6190476190476191,0.21333333333333335,,0.6190476190476191,0.6190476190476191,0.3,3.0,2.0,4.5,0.0,,,-0.053344,3.9749999999999996,0.5
2018_02,2018,2,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,21,1,15,0.016099,,0,,2,UNKNOWN,28.1,32.2,4.1,0,46.4,,,balanced,0,early,1,-3.0,,,0.15,0.7619047619047619,0.18666666666666668,,0.7619047619047619,0.7619047619047619,0.3,-1.5,2.0,-1.5,0.15,,,-0.050094,-1.675,0.5
2018_02,2018,2,Bahrain Grand Prix,Sakhir,VET,Ferrari,1,0,1,0.0,0.6119,44,0.077101,2,UNKNOWN,28.1,32.2,4.1,0,46.4,,,balanced,0,early,1,0.0,,,0.15,1.0,0.43333333333333335,,1.0,1.0,0.3,-1.0,2.0,-1.0,0.15,,,-0.03071,-1.3500000000000003,0.5
2018_03,2018,3,Chinese Grand Prix,Shanghai,ALO,McLaren,7,0,13,0.023459,0.3291,20,-0.048407,2,UNKNOWN,19.4,37.55,18.15,1,23.95,6.0,0.0,balanced,0,early,1,6.0,,,0.55,0.746031746031746,0.192,,0.8095238095238095,0.8095238095238095,0.45,3.0,5.0,5.1,0.0,,,0.03274433333333333,4.505,0.5174603174603174
2018_03,2018,3,Chinese Grand Prix,Shanghai,BOT,Mercedes,2,0,3,0.005818,0.124,20,-0.001697,2,UNKNOWN,19.4,37.55,18.15,1,23.95,5.0,0.0,balanced,0,early,1,1.0,,,0.55,0.8571428571428571,0.616,,0.6666666666666666,0.6666666666666666,0.45,3.2,7.0,3.2,0.0,,,0.014041666666666668,2.85,0.5174603174603174
2018_03,2018,3,Chinese Grand Prix,Shanghai,ERI,Sauber,16,0,20,0.041923,0.2966,20,-0.069162,2,UNKNOWN,19.4,37.55,18.15,1,23.95,9.0,0.25,balanced,0,early,1,4.0,,,0.55,0.41269841269841273,0.024,,0.0,0.0,0.45,4.0,3.0,5.9,0.2633,,,0.023672,5.375,0.5174603174603174
2018_03,2018,3,Chinese Grand Prix,Shanghai,GAS,Toro Rosso,18,0,17,0.032999,0.3568,21,-0.097509,2,UNKNOWN,19.4,37.55,18.15,1,23.95,4.0,0.25,balanced,0,early,1,-1.0,,,0.55,0.5714285714285714,0.144,,0.0,0.0,0.45,-1.15,3.0,-2.2,0.2633,,,-0.057746,-2.7600000000000002,0.5174603174603174
2018_03,2018,3,Chinese Grand Prix,Shanghai,GRO,Haas F1 Team,17,0,10,0.015687,0.3034,18,-0.085373,2,UNKNOWN,19.4,37.55,18.15,1,23.95,13.0,0.4,balanced,0,early,1,-7.0,,,0.55,0.2857142857142857,0.16,,0.0,0.0,0.45,-0.4,3.0,0.4,0.3233,,,0.045172333333333335,-0.19499999999999992,0.5174603174603174
2018_03,2018,3,Chinese Grand Prix,Shanghai,HAM,Mercedes,4,0,4,0.006367,0.3902,20,-0.045475,2,UNKNOWN,19.4,37.55,18.15,1,23.95,2.5,0.0,balanced,0,early,1,0.0,,,0.55,0.9206349206349206,0.6506666666666666,,0.9523809523809523,0.9523809523809523,0.45,2.466666666666667,1.0,2.466666666666667,0.0,,,-0.013857666666666666,2.1166666666666667,0.5174603174603174
2018_03,2018,3,Chinese Grand Prix,Shanghai,HAR,Toro Rosso,20,1,15,0.029639,0.4226,14,-0.060295,2,UNKNOWN,19.4,37.55,18.15,1,23.95,16.0,0.2,balanced,0,early,1,-5.0,,,0.55,0.2698412698412698,0.096,,0.3333333333333333,0.3333333333333333,0.45,-1.1,1.0,-1.8,0.02,,,0.05255666666666667,-2.29,0.5174603174603174
2018_03,2018,3,Chinese Grand Prix,Shanghai,HUL,Renault,6,0,7,0.015358,0.3262,20,-0.072551,2,UNKNOWN,19.4,37.55,18.15,1,23.95,6.5,0.0,balanced,0,early,1,1.0,,,0.55,0.746031746031746,0.128,,0.7142857142857143,0.7142857142857143,0.45,-0.25,0.0,-0.3,0.0,,,0.05472966666666667,-0.8949999999999999,0.5174603174603174
2018_03,2018,3,Chinese Grand Prix,Shanghai,LEC,Sauber,19,0,19,0.036874,0.1399,20,-0.036358,2,UNKNOWN,19.4,37.55,18.15,1,23.95,12.5,0.2,balanced,0,early,1,0.0,,,0.55,0.4603174603174603,0.016,,0.42857142857142855,0.42857142857142855,0.45,4.0,5.0,5.266666666666667,0.02,,,-0.010239,4.8,0.5174603174603174
2018_03,2018,3,Chinese Grand Prix,Shanghai,MAG,Haas F1 Team,10,0,11,0.020759,0.1725,20,-0.115088,2,UNKNOWN,19.4,37.55,18.15,1,23.95,5.0,0.5,balanced,0,early,1,1.0,,,0.55,0.5396825396825397,0.10666666666666667,,0.0,0.0,0.45,-2.6,3.0,-2.066666666666667,0.2933,,,-0.03334333333333333,-2.58,0.5174603174603174
2018_03,2018,3,Chinese Grand Prix,Shanghai,OCO,Force India,11,0,12,0.021538,0.4934,20,-0.077867,2,UNKNOWN,19.4,37.55,18.15,1,23.95,11.0,0.0,balanced,0,early,1,1.0,,,0.55,0.5396825396825397,0.012,,0.47619047619047616,0.47619047619047616,0.45,-0.7,2.0,-1.8,0.0,,,0.007109333333333331,-2.3950000000000005,0.5174603174603174
2018_03,2018,3,Chinese Grand Prix,Shanghai,PER,Force India,12,0,8,0.018256,1.3495,20,-0.016897,2,UNKNOWN,19.4,37.55,18.15,1,23.95,13.5,0.0,balanced,0,early,1,-4.0,,,0.55,0.3650793650793651,0.008,,0.5238095238095238,0.5238095238095238,0.45,-0.13333333333333333,1.0,-0.8666666666666667,0.0,,,0.04561433333333334,-1.3800000000000001,0.5174603174603174
2018_03,2018,3,Chinese Grand Prix,Shanghai,RAI,Ferrari,3,0,2,0.000955,0.2369,20,-0.054508,2,UNKNOWN,19.4,37.55,18.15,1,23.95,3.0,0.25,balanced,0,early,1,-1.0,,,0.55,0.30158730158730157,0.6599999999999999,,0.9047619047619048,0.9047619047619048,0.45,-0.6,1.0,-0.6,0.5567,,,0.019247333333333328,-0.9500000000000002,0.5174603174603174
2018_03,2018,3,Chinese Grand Prix,Shanghai,RIC,Red Bull Racing,1,0,6,0.009364,0.3648,20,-0.137776,2,UNKNOWN,19.4,37.55,18.15,1,23.95,4.0,0.5,balanced,0,early,1,5.0,,,0.55,0.2857142857142857,0.11200000000000002,,0.8571428571428571,0.8571428571428571,0.45,-2.1,4.0,-2.1,0.6767,,,-0.022593,-2.345,0.5174603174603174
2018_03,2018,3,Chinese Grand Prix,Shanghai,SAI,Renault,9,0,9,0.018925,0.4414,20,-0.025615,2,UNKNOWN,19.4,37.55,18.15,1,23.95,10.5,0.0,balanced,0,early,1,0.0,,,0.55,0.5396825396825397,0.192,,0.5714285714285714,0.5714285714285714,0.45,0.16666666666666666,1.0,0.13333333333333333,0.0,,,0.044439,-0.37999999999999995,0.5174603174603174
2018_03,2018,3,Chinese Grand Prix,Shanghai,SIR,Williams,15,0,16,0.03257,0.2028,21,-0.038715,2,UNKNOWN,19.4,37.55,18.15,1,23.95,15.0,0.2,balanced,0,early,1,1.0,,,0.55,0.2222222222222222,0.0,,0.0,0.0,0.45,1.25,3.0,2.8,0.2633,,,0.122834,2.17,0.5174603174603174
2018_03,2018,3,Chinese Grand Prix,Shanghai,STR,Williams,14,0,18,0.035018,0.2541,20,-0.118533,2,UNKNOWN,19.4,37.55,18.15,1,23.95,14.0,0.25,balanced,0,early,1,4.0,,,0.55,0.38095238095238093,0.0,,0.38095238095238093,0.38095238095238093,0.45,1.1666666666666667,1.0,2.2,0.02,,,0.027361666666666663,1.6633333333333333,0.5174603174603174
2018_03,2018,3,Chinese Grand Prix,Shanghai,VAN,McLaren,13,0,14,0.026456,0.1692,20,-0.150692,2,UNKNOWN,19.4,37.55,18.15,1,23.95,8.5,0.0,balanced,0,early,1,1.0,,,0.55,0.6507936507936508,0.20800000000000002,,0.6190476190476191,0.6190476190476191,0.45,4.0,2.0,5.4,0.0,,,0.013023333333333331,4.886666666666667,0.5174603174603174
2018_03,2018,3,Chinese Grand Prix,Shanghai,VER,Red Bull Racing,5,0,5,0.007695,0.4264,20,-0.027934,2,UNKNOWN,19.4,37.55,18.15,1,23.95,6.0,0.4,balanced,0,early,1,0.0,,,0.55,0.25396825396825395,0.40800000000000003,,0.7619047619047619,0.7619047619047619,0.45,0.26666666666666666,2.0,0.26666666666666666,0.6067,,,-0.050094,-0.013333333333333523,0.5174603174603174
2018_03,2018,3,Chinese Grand Prix,Shanghai,VET,Ferrari,8,0,1,0.0,0.8909,20,0.145098,2,UNKNOWN,19.4,37.55,18.15,1,23.95,1.0,0.2,balanced,0,early,1,-7.0,,,0.55,1.0,0.64,,1.0,1.0,0.45,-0.7333333333333333,2.0,-0.7333333333333333,0.06,,,0.041164,-1.0833333333333333,0.5174603174603174
2018_04,2018,4,Azerbaijan Grand Prix,Baku,ALO,McLaren,7,0,12,0.024749,1.4342,31,-0.190217,2,UNKNOWN,16.6,24.9,8.3,0,46.4,6.33,0.0,street,1,early,1,5.0,,,0.35,0.7301587301587302,0.14857142857142858,,0.746031746031746,0.8095238095238095,0.55,3.142857142857143,5.666666666666667,4.142857142857143,0.0,,,-0.007831333333333334,3.6761904761904765,0.5325396825396825
2018_04,2018,4,Azerbaijan Grand Prix,Baku,BOT,Mercedes,21,1,3,0.00334,0.8186,30,-0.145418,2,UNKNOWN,16.6,24.9,8.3,0,46.4,4.0,0.0,street,1,early,1,-3.0,,,0.35,0.9047619047619047,0.6019047619047619,,0.8571428571428571,0.6666666666666666,0.55,1.7619047619047619,3.0,1.7619047619047619,0.0,,,0.006172333333333334,1.4119047619047618,0.5325396825396825
2018_04,2018,4,Azerbaijan Grand Prix,Baku,ERI,Sauber,11,0,18,0.039833,2.2711,26,-0.350608,4,UNKNOWN,16.6,24.9,8.3,0,46.4,12.5,0.1429,street,1,early,3,7.0,,,0.35,0.34920634920634924,0.011428571428571429,,0.19047619047619047,0.0,0.55,2.857142857142857,3.6666666666666665,3.761904761904762,0.131,,,-0.03821733333333333,3.3285714285714287,0.5325396825396825
2018_04,2018,4,Azerbaijan Grand Prix,Baku,GAS,Toro Rosso,12,0,17,0.029538,1.802,28,-0.752812,3,UNKNOWN,16.6,24.9,8.3,0,46.4,11.0,0.2857,street,1,early,2,5.0,,,0.35,0.38095238095238093,0.06857142857142857,,0.12698412698412698,0.0,0.55,-2.2142857142857144,1.6666666666666667,-2.7142857142857144,0.2167,,,-0.0776275,-3.1642857142857137,0.5325396825396825
2018_04,2018,4,Azerbaijan Grand Prix,Baku,GRO,Haas F1 Team,21,1,20,,0.6154,28,-0.182254,3,UNKNOWN,16.6,24.9,8.3,0,46.4,15.0,0.2857,street,1,early,2,-3.0,,,0.35,0.26190476190476186,0.08761904761904762,,0.15873015873015872,0.0,0.55,-1.5714285714285714,5.666666666666667,-1.1904761904761905,0.1595,,,-0.02010033333333333,-1.6571428571428573,0.5325396825396825
2018_04,2018,4,Azerbaijan Grand Prix,Baku,HAM,Mercedes,1,0,2,0.001764,0.9147,29,-0.205884,3,UNKNOWN,16.6,24.9,8.3,0,46.4,3.0,0.0,street,1,early,2,1.0,,,0.35,0.8888888888888888,0.45142857142857146,,0.8888888888888888,0.9523809523809523,0.55,0.5714285714285714,0.3333333333333333,0.5714285714285714,0.075,,,-0.029666333333333336,0.2214285714285714,0.5325396825396825
2018_04,2018,4,Azerbaijan Grand Prix,Baku,HAR,Toro Rosso,10,0,19,0.15622,1.7983,28,-0.244378,3,UNKNOWN,16.6,24.9,8.3,0,46.4,17.33,0.3333,street,1,early,2,9.0,,,0.35,0.18253968253968256,0.05142857142857143,,0.17460317460317457,0.3333333333333333,0.55,-1.0357142857142858,3.6666666666666665,-0.7857142857142857,0.425,,,-0.0038691666666666688,-1.2982142857142855,0.5325396825396825
2018_04,2018,4,Azerbaijan Grand Prix,Baku,HUL,Renault,21,1,14,0.015449,3.793,4,-2.6814,1,UNKNOWN,16.6,24.9,8.3,0,46.4,6.33,0.0,street,1,early,0,-3.0,,,0.35,0.753968253968254,0.16,,0.746031746031746,0.7142857142857143,0.55,0.11904761904761904,0.6666666666666666,0.09523809523809523,0.0,,,-0.00891066666666667,-0.3714285714285714,0.5325396825396825
2018_04,2018,4,Azerbaijan Grand Prix,Baku,LEC,Sauber,6,0,13,0.022207,1.2902,29,-0.182491,3,UNKNOWN,16.6,24.9,8.3,0,46.4,14.67,0.1667,street,1,early,2,7.0,,,0.35,0.30158730158730157,0.008571428571428572,,0.23809523809523805,0.42857142857142855,0.55,2.7261904761904767,1.6666666666666667,4.571428571428571,0.0107,,,-0.0232985,3.9839285714285717,0.5325396825396825
2018_04,2018,4,Azerbaijan Grand Prix,Baku,MAG,Haas F1 Team,13,0,15,0.021439,4.7745,30,-0.209364,2,UNKNOWN,16.6,24.9,8.3,0,46.4,7.5,0.3333,street,1,early,1,2.0,,,0.35,0.5555555555555555,0.06571428571428571,,0.38095238095238093,0.0,0.55,-1.5535714285714286,1.6666666666666667,-1.6428571428571428,0.2238,,,-0.07421566666666667,-2.167857142857143,0.5325396825396825
2018_04,2018,4,Azerbaijan Grand Prix,Baku,OCO,Force India,21,1,7,0.010099,,0,,1,ULTRASOFT,16.6,24.9,8.3,0,46.4,11.0,0.0,street,1,early,0,-3.0,,,0.35,0.5317460317460317,0.005714285714285714,,0.5079365079365079,0.47619047619047616,0.55,-1.2380952380952381,1.3333333333333333,-1.7619047619047619,0.0,,,,-2.2285714285714286,0.5325396825396825
2018_04,2018,4,Azerbaijan Grand Prix,Baku,PER,Force India,3,0,8,0.010335,1.5799,30,-0.196682,3,UNKNOWN,16.6,24.9,8.3,0,46.4,13.0,0.0,street,1,early,2,5.0,,,0.35,0.42063492063492064,0.004285714285714286,,0.4920634920634921,0.5238095238095238,0.55,-1.6785714285714286,3.0,-2.0714285714285716,0.075,,,0.01435866666666667,-2.4214285714285713,0.5325396825396825
